-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.013,  0.115
-183.800, 80.199, 0.037,  0.148
-183.800, 80.197, 0.036,  0.181
-183.800, 80.196, 0.042,  0.214
-183.800, 80.193, 0.110,  0.247
-183.800, 80.185, 0.234,  0.280
-183.800, 80.174, 0.344,  0.313
-183.800, 80.158, 0.505,  0.346
-183.800, 80.137, 0.644,  0.379
-183.800, 80.109, 0.880,  0.412
-183.800, 80.071, 1.132,  0.445
-183.800, 80.027, 1.353,  0.478
-183.800, 79.975, 1.556,  0.511
-183.800, 79.917, 1.747,  0.544
-183.800, 79.854, 1.929,  0.577
-183.800, 79.784, 2.106,  0.610
-183.800, 79.709, 2.279,  0.643
-183.800, 79.629, 2.450,  0.676
-183.800, 79.543, 2.618,  0.709
-183.800, 79.451, 2.786,  0.742
-183.800, 79.354, 2.953,  0.775
-183.800, 79.251, 3.119,  0.808
-183.800, 79.143, 3.285,  0.841
-183.800, 79.029, 3.449,  0.874
-183.800, 78.910, 3.613,  0.907
-183.800, 78.785, 3.776,  0.940
-183.800, 78.655, 3.938,  0.973
-183.800, 78.520, 4.098,  1.006
-183.800, 78.379, 4.258,  1.039
-183.801, 78.233, 4.417,  1.072
-183.801, 78.082, 4.574,  1.105
-183.801, 77.926, 4.731,  1.138
-183.801, 77.764, 4.887,  1.171
-183.801, 77.597, 5.041,  1.204
-183.801, 77.426, 5.196,  1.237
-183.801, 77.249, 5.349,  1.270
-183.801, 77.067, 5.500,  1.303
-183.801, 76.879, 5.651,  1.336
-183.801, 76.687, 5.801,  1.369
-183.801, 76.490, 5.950,  1.402
-183.801, 76.288, 6.098,  1.435
-183.801, 76.081, 6.245,  1.468
-183.801, 75.870, 6.390,  1.501
-183.802, 75.653, 6.535,  1.534
-183.802, 75.432, 6.679,  1.567
-183.802, 75.205, 6.822,  1.600
-183.802, 74.974, 6.964,  1.633
-183.802, 74.739, 7.105,  1.666
-183.802, 74.499, 7.245,  1.699
-183.802, 74.254, 7.384,  1.732
