-181.335, 80.540, 2.400
-181.339, 79.539, 2.560
-181.342, 78.535, 2.721
-181.345, 77.529, 2.882
-181.348, 76.520, 3.043
-181.351, 75.508, 3.205
-181.354, 74.494, 3.367
-181.357, 73.477, 3.530
-181.359, 72.458, 3.693
-181.362, 71.437, 3.857
-181.364, 70.413, 4.020
-181.366, 69.386, 4.185
-181.369, 68.358, 4.349
-181.371, 67.327, 4.514
-181.373, 66.293, 4.679
-181.375, 65.258, 4.845
-181.377, 64.220, 5.011
-181.378, 63.180, 5.178
-181.380, 62.138, 5.344
-181.382, 61.094, 5.511
-181.383, 60.048, 5.679
-181.384, 59.000, 5.846
-181.386, 57.949, 6.014
-181.387, 56.897, 6.183
-181.388, 55.843, 6.352
-181.389, 54.787, 6.520
-181.390, 53.729, 6.690
-181.391, 52.669, 6.859
-181.391, 51.607, 7.029
-181.392, 50.544, 7.199
-181.393, 49.479, 7.370
-181.393, 48.412, 7.540
-181.393, 47.343, 7.711
-181.394, 46.273, 7.883
-181.394, 45.201, 8.054
-181.394, 44.128, 8.226
-181.394, 43.053, 8.398
-181.394, 41.977, 8.570
-181.394, 40.899, 8.743
-181.394, 39.819, 8.915
-181.393, 38.739, 9.088
-181.393, 37.656, 9.261
-181.392, 36.573, 9.435
-181.392, 35.488, 9.608
-181.391, 34.402, 9.782
-181.390, 33.315, 9.956
-181.390, 32.226, 10.130
-181.389, 31.136, 10.305
-181.388, 30.045, 10.479
-181.387, 28.953, 10.654
-181.386, 27.860, 10.829
-181.384, 26.766, 11.004
-181.383, 25.671, 11.179
-181.382, 24.575, 11.354
-181.380, 23.478, 11.530
-181.379, 22.380, 11.706
-181.377, 21.281, 11.881
-181.375, 20.181, 12.057
-181.374, 19.181, 12.217
-181.372, 18.180, 12.378
-181.370, 17.178, 12.538
-181.369, 16.175, 12.698
-181.367, 15.173, 12.859
-181.365, 14.169, 13.019
-181.363, 13.165, 13.180
-181.361, 12.161, 13.341
-181.359, 11.156, 13.502
-181.357, 10.150, 13.662
-181.354, 9.144, 13.823
-181.352, 8.138, 13.984
-181.350, 7.131, 14.145
-181.347, 6.124, 14.306
-181.345, 5.117, 14.468
-181.342, 4.110, 14.629
-181.340, 3.102, 14.790
-181.337, 2.094, 14.951
-181.335, 1.085, 15.113
-181.332, 0.077, 15.274
-181.329, -0.932, 15.436
-181.326, -1.941, 15.597
-181.323, -2.950, 15.758
-181.320, -3.959, 15.920
-181.317, -4.968, 16.081
-181.314, -5.977, 16.243
-181.311, -6.987, 16.404
-181.308, -7.996, 16.566
-181.305, -9.005, 16.727
-181.301, -10.014, 16.889
-181.298, -11.024, 17.050
-181.295, -12.033, 17.212
-181.291, -13.041, 17.373
-181.288, -14.050, 17.534
-181.284, -15.059, 17.696
-181.281, -16.067, 17.857
-181.277, -17.075, 18.018
-181.273, -18.083, 18.180
-181.269, -19.091, 18.341
-181.266, -20.098, 18.502
-181.262, -21.105, 18.663
-181.258, -22.112, 18.824
-181.254, -23.118, 18.985
-181.250, -24.124, 19.146
-181.246, -25.130, 19.307
-181.242, -26.135, 19.468
-181.238, -27.139, 19.629
-181.234, -28.143, 19.789
-181.229, -29.147, 19.950
-181.225, -30.150, 20.110
-181.221, -31.152, 20.271
-181.216, -32.154, 20.431
-181.212, -33.155, 20.591
-181.208, -34.156, 20.751
-181.203, -35.256, 20.927
-181.198, -36.355, 21.103
-181.192, -37.453, 21.279
-181.187, -38.550, 21.454
-181.182, -39.646, 21.630
-181.177, -40.741, 21.805
-181.172, -41.836, 21.980
-181.166, -42.929, 22.155
-181.161, -44.021, 22.330
-181.156, -45.112, 22.504
-181.150, -46.202, 22.679
-181.145, -47.291, 22.853
-181.139, -48.378, 23.027
-181.133, -49.464, 23.201
-181.128, -50.549, 23.374
-181.122, -51.633, 23.548
-181.116, -52.715, 23.721
-181.111, -53.796, 23.894
-181.105, -54.876, 24.067
-181.099, -55.954, 24.239
-181.093, -57.031, 24.411
-181.087, -58.106, 24.583
-181.081, -59.179, 24.755
-181.075, -60.251, 24.927
-181.069, -61.322, 25.098
-181.063, -62.391, 25.269
-181.056, -63.458, 25.440
-181.050, -64.523, 25.610
-181.044, -65.587, 25.780
-181.038, -66.648, 25.950
-181.031, -67.708, 26.120
-181.025, -68.767, 26.289
-181.018, -69.823, 26.458
-181.012, -70.877, 26.627
-181.005, -71.930, 26.795
-180.999, -72.980, 26.963
-180.992, -74.029, 27.131
-180.986, -75.075, 27.299
-180.979, -76.120, 27.466
-180.972, -77.162, 27.632
-180.966, -78.202, 27.799
-180.959, -79.240, 27.965
-180.952, -80.276, 28.131
-180.945, -81.309, 28.296
-180.938, -82.341, 28.461
-180.931, -83.370, 28.626
-180.924, -84.396, 28.790
-180.917, -85.420, 28.954
-180.910, -86.442, 29.117
-180.903, -87.462, 29.119
-180.896, -88.479, 29.037
-180.889, -89.493, 28.956
-180.882, -90.505, 28.875
-180.875, -91.514, 28.794
-180.868, -92.521, 28.714
-180.861, -93.525, 28.634
-180.853, -94.526, 28.553
-180.845, -95.616, 28.466
-180.838, -96.702, 28.379
-180.830, -97.785, 28.293
-180.822, -98.864, 28.206
-180.813, -99.940, 28.120
-180.805, -101.013, 28.035
-180.797, -102.082, 27.949
-180.789, -103.147, 27.864
-180.781, -104.210, 27.779
-180.773, -105.268, 27.694
-180.765, -106.323, 27.610
-180.756, -107.374, 27.526
-180.748, -108.421, 27.442
-180.740, -109.465, 27.358
-180.731, -110.505, 27.275
-180.723, -111.541, 27.192
-180.715, -112.573, 27.110
